,market,funding_total_usd,region,city,funding_rounds,Founding_year,first_funding_year,last_funding_year,first_funding_gap,last_funding_gap,first_last_funding_gap,success
2998,309,13292327.0,131,573,2,2007.0,2009.0,2009,2.0,2.0,0.0,1
3001,208,5000000.0,159,278,1,0.0,2006.0,2006,0.0,0.0,0.0,1
3002,20,36300000.0,137,107,3,2003.0,2008.0,2011,5.0,8.0,3.0,0
3005,309,1000000.0,91,460,2,2011.0,2011.0,2012,0.0,1.0,1.0,1
3006,29,5660000.0,159,534,1,1983.0,2012.0,2012,29.0,29.0,0.0,1
3010,79,4600000.0,131,569,2,2007.0,2007.0,2009,0.0,2.0,2.0,1
3012,47,0.0,109,357,1,2009.0,2009.0,2009,0.0,0.0,0.0,0
3049,289,20000000.0,131,624,1,2004.0,2007.0,2007,3.0,3.0,0.0,0
3067,29,122000000.0,137,567,4,2009.0,2009.0,2012,0.0,3.0,3.0,1
3068,146,25000000.0,131,486,1,2005.0,2008.0,2008,3.0,3.0,0.0,1
3081,145,2648258.0,40,23,3,0.0,2007.0,2013,0.0,0.0,6.0,1
3093,47,90000000.0,93,205,1,0.0,2007.0,2007,0.0,0.0,0.0,0
3103,309,15000000.0,131,569,2,2005.0,2005.0,2007,0.0,2.0,2.0,1
3108,20,0.0,79,362,1,2012.0,2012.0,2012,0.0,0.0,0.0,0
3120,309,12000000.0,17,666,1,0.0,2006.0,2006,0.0,0.0,0.0,1
3133,286,42000000.0,131,624,3,1997.0,2005.0,2008,8.0,11.0,3.0,1
3135,286,26914000.0,131,486,3,2000.0,2000.0,2006,0.0,6.0,6.0,1
3151,146,64080000.0,131,432,3,2003.0,2005.0,2009,2.0,6.0,4.0,1
3180,286,10450000.0,136,563,1,1976.0,2009.0,2009,33.0,33.0,0.0,0
3185,309,1750000.0,131,432,1,2010.0,2011.0,2011,1.0,1.0,0.0,0
3198,210,1100000.0,69,661,1,2001.0,2011.0,2011,10.0,10.0,0.0,0
3218,309,622000.0,131,530,1,1998.0,2007.0,2007,9.0,9.0,0.0,0
3226,115,0.0,104,449,1,2001.0,2012.0,2012,11.0,11.0,0.0,1
3256,212,2000000.0,131,580,1,2011.0,2013.0,2013,2.0,2.0,0.0,1
3257,364,955000.0,131,569,2,2005.0,2006.0,2009,1.0,4.0,3.0,1
3273,1,15564591.0,159,670,3,2005.0,2006.0,2009,1.0,4.0,3.0,0
3301,137,12000000.0,131,504,1,2002.0,2005.0,2005,3.0,3.0,0.0,1
3322,17,50000.0,104,449,1,2007.0,2007.0,2007,0.0,0.0,0.0,0
3357,137,0.0,79,679,2,2006.0,2006.0,2007,0.0,1.0,1.0,0
3364,79,0.0,93,416,1,2008.0,2009.0,2009,1.0,1.0,0.0,1
3367,102,12200000.0,104,449,3,0.0,2011.0,2013,0.0,0.0,2.0,1
3373,309,6883956.0,123,189,3,2007.0,2008.0,2010,1.0,3.0,2.0,1
3389,29,28257446.0,131,242,3,0.0,2008.0,2010,0.0,0.0,2.0,0
